CPR	INFL	M	QUARTER	TBR	Y
2.036667	1.9513786693	6.3545978492	195401	1.083667	7.41505469297
1.633333	0.905918988334	6.35366235776	195402	0.814333	7.41360856112
1.363333	0.359655940662	6.36262280072	195403	0.869667	7.42517908678
1.31	3.8584454618	6.36380349661	195404	1.036333	7.43738302971
1.613333	3.09707311626	6.36761666603	195501	1.256333	7.46307614263
1.966667	4.6957582824	6.36151062805	195502	1.514333	7.47227331694
2.326667	3.7694501587	6.35657456854	195503	1.861333	7.48335689569
2.833333	2.59972018523	6.35230524583	195504	2.349333	7.49214729971
3	3.84699570495	6.34674672922	195601	2.379333	7.48829351516
3.263333	2.66790927254	6.34189831847	195602	2.596667	7.49470826314
3.35	3.59683290281	6.33333902419	195603	2.596667	7.4967634198
3.63	2.67376166988	6.33111078836	195604	3.063667	7.51021159426
3.63	5.48413776594	6.31966532536	195701	3.171667	7.51556241238
3.683333	1.87418049844	6.31531277491	195702	3.157	7.51469076272
3.953333	2.92599053599	6.30796042706	195703	3.382333	7.52358935644
3.993333	0.156360863582	6.30278186979	195704	3.343333	7.51234443256
2.816667	2.27971063391	6.29557994736	195801	1.838	7.4900267632
1.716667	0.603713460315	6.30535595079	195802	1.017667	7.49798340553
2.13	3.74846975405	6.30649543992	195803	1.710667	7.51800986145
3.213333	2.74020896906	6.31243857928	195804	2.787667	7.53950566468
3.303333	4.30312396935	6.30800261932	195901	2.800333	7.55218479274
3.603333	3.5835151526	6.30761939616	195902	3.019333	7.56915376123
4.193333	1.54681580557	6.3108429087	195903	3.533	7.56568970379
4.76	0.997237996635	6.29959754257	195904	4.299333	7.57142215422
4.686667	3.50103228703	6.28798985642	196001	3.943	7.5892852402
4.073333	0.196590147891	6.28535168971	196002	3.092333	7.58665139377
3.373333	1.84974402567	6.28999655822	196003	2.390333	7.58766523276
3.27	-1.33462232624	6.29285985089	196004	2.360667	7.58126081929
3.013333	0.0422488947665	6.29771233114	196101	2.376667	7.58953812946
2.86	2.55607398596	6.29859661683	196102	2.324667	7.60389796852
2.896667	2.27618110892	6.29873436332	196103	2.324667	7.61834937315
3.056667	1.46645837086	6.30409292286	196104	2.475	7.63843906307
3.243333	3.70147001604	6.30126865919	196201	2.739	7.65150051231
3.203333	1.16134006075	6.30498105349	196202	2.716	7.66185643888
3.333333	1.58110514285	6.30011837474	196203	2.858	7.66977532383
3.263333	2.31827626804	6.29976981509	196204	2.803333	7.66865456159
3.31	0.609881951657	6.30860322803	196301	2.909	7.68289710709
3.316667	0.571695747225	6.31631665686	196302	2.941333	7.69598534079
3.696667	1.55463636984	6.32280886728	196303	3.280667	7.71315914189
3.906667	2.78982161581	6.3252363766	196304	3.499333	7.72068349786
3.95	0.616331719818	6.33020316244	196401	3.538	7.74547888065
3.933333	2.2662719726	6.33143257124	196402	3.481333	7.75358062718
3.91	1.7795444961	6.34317150118	196403	3.504	7.76531459579
4.063333	2.29166341126	6.35045679587	196404	3.685	7.76811037853
4.3	4.28012406375	6.34723626296	196501	3.899667	7.7874235194
4.38	1.66644691742	6.34884931965	196502	3.879	7.80090020135
4.38	2.43894882763	6.35441448383	196503	3.859667	7.81822912553
4.47	3.18002662198	6.36460641855	196504	4.158667	7.84141430502
4.97	3.82966022688	6.3720657517	196601	4.630667	7.86203519676
5.426667	4.09644938526	6.37256797212	196602	4.597333	7.86380504063
5.79	3.03638741838	6.36186355097	196603	5.047667	7.87325513487
6	4.56556716001	6.35336877498	196604	5.246	7.87872357215
5.45	2.11821474796	6.3579350603	196701	4.533667	7.88502821579
4.716667	1.27478459383	6.36850715404	196702	3.657333	7.8894591494
4.973333	3.68029130449	6.38108314706	196703	4.344667	7.90082184966
5.303333	4.84592671512	6.38536063211	196704	4.787333	7.9065840641
5.58	6.05630060256	6.38256571279	196801	5.064667	7.9201195356
6.08	4.60122775488	6.38859126428	196802	5.51	7.93626693997
5.963333	4.60822988815	6.39638648059	196803	5.226333	7.94335676784
5.963333	5.21447902102	6.40468625927	196804	5.580667	7.94509481918
6.656667	4.16477103221	6.4121590652	196901	6.137667	7.96018400335
7.54	5.39973872029	6.40665443122	196902	6.24	7.96130046428
8.486667	5.83674472553	6.39653166565	196903	7.046667	7.9671068537
8.62	4.62959572481	6.39301759661	196904	7.317667	7.96384273524
8.553333	5.44672251537	6.39015533424	197001	7.262667	7.96130046428
8.166667	6.8178444975	6.38021669282	197002	6.752333	7.95840206336
7.836667	2.56513581779	6.38707237342	197003	6.374667	7.97074039001
6.293333	4.41499435889	6.39382083051	197004	5.358333	7.96321647399
4.59	7.39992345647	6.39187589519	197101	3.863333	7.98613084615
5.04	6.23666951183	6.39723852594	197102	4.206	7.98759241232
5.743333	4.90548745799	6.40210744535	197103	5.050333	7.99372127262
5.063333	2.96470444836	6.40395841309	197104	4.234333	7.99877212853
4.056667	5.54532079623	6.40951600845	197201	3.435333	8.01872424186
4.576667	3.9005365913	6.41585386006	197202	3.748333	8.0358292778
4.933333	3.7182552569	6.42724668556	197203	4.241333	8.04744552941
5.333333	6.33204983741	6.43574467346	197204	4.851333	8.06322037924
6.283333	5.18783657275	6.44229702571	197301	5.639667	8.08742514478
7.466667	7.37104809864	6.43584717551	197302	6.608333	8.09181104947
9.873333	7.50450902206	6.42866326544	197303	8.388333	8.09080062363
8.98	9.3811397145	6.41754990436	197304	7.461667	8.09836925011
8.303333	6.38785122359	6.4180509413	197401	7.600333	8.08929840834
10.456667	8.29834015503	6.40656093936	197402	8.268	8.09181104947
11.533333	11.8914184684	6.38587998791	197403	8.286333	8.08305079242
9.05	9.65358743679	6.37388670432	197404	7.336	8.07912224356
6.563333	11.4105585388	6.35107287046	197501	5.873333	8.05642676752
5.92	5.457248446	6.35234642434	197502	5.400667	8.06790157977
6.666667	8.35063683604	6.35027693928	197503	6.336667	8.08637950562
6.12	6.72691287974	6.34139620434	197504	5.684333	8.09940243362
5.29	5.17185106851	6.34186169729	197601	4.953333	8.11871362748
5.57	5.11805797767	6.34522346201	197602	5.168667	8.12243060644
5.53	6.20178417212	6.34027259903	197603	5.168667	8.12592680271
4.99	6.86144416695	6.34203652824	197604	4.698333	8.13631337307
4.81	5.40790499309	6.35191217916	197701	4.624	8.15087187043
5.236667	8.15039156699	6.34904606552	197702	4.828667	8.16763571525
5.806667	6.97459240947	6.3484044277	197703	5.472	8.18155260887
6.593333	7.05005262065	6.35186503233	197704	6.137	8.17953625331
6.796667	5.64386478324	6.35751231947	197801	6.408	8.18640874858
7.2	10.3705825615	6.3535863556	197802	6.481	8.21797820315
8.083333	7.76279413712	6.35399342716	197803	7.315333	8.22566372724
9.896667	8.68324751512	6.34947013406	197804	8.680333	8.23737346291
10.096667	7.82074995684	6.34210728936	197901	9.357667	8.23769090643
9.853333	8.54936271629	6.34539717142	197902	9.372334	8.23861620821
10.603333	8.80865402972	6.34788547591	197903	9.631333	8.24472808477
13.096667	7.95744065078	6.33667042974	197904	11.803667	8.24659108894
14.253333	9.2141407903	6.33016867316	198001	13.458667	8.25082893765
10.75	9.45053662193	6.29800669329	198002	10.049333	8.22486032075
9.646667	9.08664894427	6.3120967406	198003	9.235333	8.22510141048
14.513333	10.4795322956	6.31290432558	198004	13.709667	8.24499068981
14.52	11.2514751497	6.29608432123	198101	14.369	8.25855198775
15.35	6.98579436206	6.30250891153	198102	14.829	8.25437282295
16.213333	9.32349038136	6.2841288089	198103	15.087333	8.25958758655
12.94	8.5695663081	6.2752680673	198104	12.022667	8.24357180261
13.696667	4.53466016926	6.28648647316	198201	12.895	8.23113646404
13.483333	5.24026490654	6.28298396571	198202	12.359	8.23512201507
11.553333	4.05725368722	6.28500534731	198203	9.705333	8.23068376448
8.81	3.33361757819	6.31670265881	198204	7.935	8.23206784775
8.34	4.88249143589	6.33222844804	198301	8.081333	8.23840478613
8.606667	2.8123136038	6.35552872002	198302	8.419	8.26526428867
9.44	3.91815401297	6.36898712555	198303	9.186667	8.28005213046
9.19	4.21349624268	6.37586651742	198304	8.793333	8.297070074
9.45	5.62077982308	6.3778566714	198401	9.133333	8.31617799218
10.773333	4.15853786986	6.38430533571	198402	9.843333	8.32941678394
11.146667	4.56260153417	6.38247774576	198403	10.343333	8.33480763257
9.256667	2.63701982203	6.38653010279	198404	8.973333	8.3414578975
8.69	4.63993703143	6.40052339083	198501	8.183333	8.34801685637
7.91	2.68090496424	6.41848625237	198502	7.523333	8.35580303638
7.723333	2.80385149316	6.44655996185	198503	7.103333	8.36846113762
7.7	3.92399473434	6.46457622778	198504	7.146667	8.37413080857
7.413333	1.97260459789	6.48098903833	198601	6.886667	8.3871983948
6.543333	1.79879494531	6.51525437008	198602	6.13	8.38656045078
5.893333	3.19989770015	6.54904636799	198603	5.533333	8.39221936387
5.726667	2.99064871395	6.58408641702	198604	5.34	8.39550002114
5.95	3.59778911457	6.60689355494	198701	5.533333	8.40290404501
